,ending1,ending2,labels,startphrase,predicted label
944,Dia sudah lama hidup bergantung kepada keluarga.,Dia sudah lama hidup memikul beban keluarga.,0,Dia sudah lama hidup berpangku tangan.,0
945,Dia sudah lama hidup bergantung kepada keluarga.,Dia sudah lama hidup memikul beban keluarga.,1,Dia sudah lama hidup menjadi tulang punggung.,1
946,Pernikahan itu menyenangkan.,Pernikahan itu menderita.,0,Pernikahan adalah perjalanan menyusuri sungai cantik yang airnya jernih.,1
947,Pernikahan itu menyenangkan.,Pernikahan itu menderita.,1,Pernikahan adalah perjalanan di padang pasir mencari sumber air.,1
948,Anak kecil itu suci.,Anak kecil itu profan.,0,Anak kecil adalah kertas putih yang masih kosong.,1
949,Anak kecil itu suci.,Anak kecil itu profan.,1,Anak kecil adalah kertas gorengan yang penuh dengan minyak.,0
950,Dia kini tubuhnya besar.,Dia kini tubuhnya kecil.,0,Dia kini sudah sebesar kingkong.,1
951,Dia kini tubuhnya besar.,Dia kini tubuhnya kecil.,1,Dia kini sudah sebesar tikus.,1
952,Kalau sedang lapar dia berisik.,Kalau sedang lapar dia tenang.,0,Kalau sedang lapar dia seperti anak ayam yang belum diberi makan.,0
953,Kalau sedang lapar dia berisik.,Kalau sedang lapar dia tenang.,1,Kalau sedang lapar dia seperti air sungai yang sangat dalam.,1
954,Beban yang kutanggung ringan.,Beban yang kutanggung berat.,0,Beban yang kutanggung sudah seperti sekarung kapas.,0
955,Beban yang kutanggung ringan.,Beban yang kutanggung berat.,1,Beban yang kutanggung sudah seperti sebongkah beton.,1
956,Hadiah dari ibu berharga.,Hadiah dari ibu tidak berharga.,0,Hadiah dari ibu ibarat emas 24 karat.,1
957,Hadiah dari ibu berharga.,Hadiah dari ibu tidak berharga.,1,Hadiah dari ibu ibarat sekarung besi berkarat.,1
958,Aku merasa lapar sekali.,Aku merasa kenyang sekali.,0,Aku merasa seperti sedang berpuasa 30 hari penuh tanpa pernah berbuka.,1
959,Aku merasa lapar sekali.,Aku merasa kenyang sekali.,1,Aku merasa seperti memakan seluruh menu yang ada di rumah makan Padang.,1
960,Cuaca di Surabaya panas sekali.,Cuaca di Surabaya sejuk sekali.,0,Cuaca di Surabaya sepanas gerbang neraka jahanam.,1
961,Cuaca di Surabaya panas sekali.,Cuaca di Surabaya sejuk sekali.,1,Cuaca di Surabaya sepanas kulkas dua pintu.,0
962,Masakan ibumu luar biasa enak.,Masakan ibumu sangat tidak enak.,0,Masakan ibumu layaknya makanan yang dibawakan langsung dari surga.,1
963,Masakan ibumu luar biasa enak.,Masakan ibumu sangat tidak enak.,1,Masakan ibumu layaknya makanan sisa yang telah dijilati kucing.,0
964,Kasur hotel ini empuk dan lembut.,Kasur hotel ini keras sekali.,0,Kasur hotel ini selembut hamparan kapas dan kain sutra.,0
965,Kasur hotel ini empuk dan lembut.,Kasur hotel ini keras sekali.,1,Kasur hotel ini selembut bangku kayu jati di sekolah-sekolah.,0
966,Handphone miliknya canggih.,Handphone miliknya kuno.,0,Handphone miliknya bagai barang ajaib Doraemon.,1
967,Handphone miliknya canggih.,Handphone miliknya kuno.,1,Handphone miliknya bagai baju hangat nenek buyutku.,1
968,Rambutku tebal.,Rambutku tipis.,0,Rambutku setebal buku-buku Harry Potter.,1
969,Rambutku tebal.,Rambutku tipis.,1,Rambutku setebal isi dompetku di akhir bulan.,0
970,Lagu yang kau nyanyikan merdu.,Lagu yang kau nyanyikan berisik dan mengganggu.,0,Lagu yang kau nyanyikan ibarat hujan rintik pengantar tidur.,0
971,Lagu yang kau nyanyikan merdu.,Lagu yang kau nyanyikan berisik dan mengganggu.,1,Lagu yang kau nyanyikan ibarat bunyi klakson pengendara di lampu merah yang baru saja berubah hijau.,1
972,Gaun pengantin yang ia kenakan indah dan cantik.,Gaun pengantin yang ia kenakan jelek.,0,Gaun pengantin yang ia kenakan bak gaun malaikat yang terbuat dari ratusan benang surga.,1
973,Gaun pengantin yang ia kenakan indah dan cantik.,Gaun pengantin yang ia kenakan jelek.,1,Gaun pengantin yang ia kenakan bak daster ibu-ibu yang hendak pergi ke pasar.,0
974,Rasa sakit ini sakit sekali.,Rasa sakit ini tidak sakit sama sekali.,0,Rasa sakit ini bagai dihujani ratusan panah yang mendarat langsung di tubuhku.,1
975,Rasa sakit ini sakit sekali.,Rasa sakit ini tidak sakit sama sekali.,1,Rasa sakit ini bagai digigit anak semut.,0
976,Penjelasanmu tidak jelas.,Penjelasanmu jelas.,0,Penjelasanmu sejelas penglihatan orang rabun tanpa kacamata.,1
977,Penjelasanmu tidak jelas.,Penjelasanmu jelas.,1,Penjelasanmu sejelas video youtube dengan resolusi HD.,1
978,Suaranya lantang.,Suaranya sayup.,0,Suaranya sudah seperti komando pemimpin upacara bendera.,1
979,Suaranya lantang.,Suaranya sayup.,1,Suaranya sudah seperti bisikan ibu yang tidak ingin membangunkan bayinya.,1
980,Sikapnya akhir-akhir ini dingin.,Sikapnya akhir-akhir ini panas.,0,Sikapnya akhir-akhir ini ibarat suhu Dieng selepas di malam hari.,1
981,Sikapnya akhir-akhir ini dingin.,Sikapnya akhir-akhir ini panas.,1,Sikapnya akhir-akhir ini ibarat cuaca Depok di siang bolong.,1
982,Harapan orang tuaku tinggi.,Harapan orang tuaku rendah.,0,Harapan orang tuaku setinggi menara Burj Khalifa di Dubai.,1
983,Harapan orang tuaku tinggi.,Harapan orang tuaku rendah.,1,Harapan orang tuaku setinggi lutut kurcaci Putri Salju.,1
984,Perasaan ini dalam.,Perasaan ini dangkal.,0,Perasaan ini sepertinya sudah sedalam palung Mariana.,1
985,Perasaan ini dalam.,Perasaan ini dangkal.,1,Perasaan ini sepertinya sudah sedalam kolam renang anak SD.,0
986,Ia belanja seperti orang kerasukan.,Ia belanja sesuai kebutuhan.,0,Ia belanja seolah-olah akan terjadi lockdown besok pagi.,1
987,Ia belanja seperti orang kerasukan.,Ia belanja sesuai kebutuhan.,1,Ia belanja seolah-olah tidak membutuhkan apapun karena semua telah dimilikinya di rumah.,1
988,Amarahku mendidih.,Amarahku mereda.,0,Amarahku sudah seperti air panas di suhu 100 derajat.,1
989,Amarahku mendidih.,Amarahku mereda.,1,Amarahku sudah seperti air hujan yang berhenti turun.,1
990,Berkencan denganmu menyenangkan.,Berkencan denganmu memalukan.,0,Berkencan denganmu bagai berkencan dengan pangeran berkuda putih.,1
991,Berkencan denganmu menyenangkan.,Berkencan denganmu memalukan.,1,Berkencan denganmu bagai berkencan dengan pangeran kodok.,1
992,Belajar sejarah membosankan.,Belajar sejarah menyenangkan.,0,Belajar sejarah adalah hari-hari panjang pasien di rumah sakit.,1
993,Belajar sejarah membosankan.,Belajar sejarah menyenangkan.,1,Belajar sejarah adalah tamasya anak-anak ke taman hiburan.,1
994,Jumlah uang di dompetku banyak.,Jumlah uang di dompetku tidak ada.,0,Jumlah uang di dompetku seperti jumlah daun pada pohon beringin yang rimbun.,1
995,Jumlah uang di dompetku banyak.,Jumlah uang di dompetku tidak ada.,1,Jumlah uang di dompetku seperti jumlah kaki ular.,0
996,Anak sematawayang berharga.,Anak sematawayang beban.,0,Anak sematawayang adalah mata air di tengah savana.,0
997,Anak sematawayang berharga.,Anak sematawayang beban.,1,Anak sematawayang adalah pinjaman online yang tak kunjung lunas.,0
998,Daya tangkapmu cepat.,Daya tangkapmu lambat.,0,Daya tangkapmu layaknya internet 5G.,0
999,Daya tangkapmu cepat.,Daya tangkapmu lambat.,1,Daya tangkapmu layaknya internet 2G.,1
1000,Seminggu ini perasaanku sedih dan muram.,Seminggu ini perasaanku ceria.,0,Seminggu ini perasaanku bagai langit dan awan kelabu.,1
1001,Seminggu ini perasaanku sedih dan muram.,Seminggu ini perasaanku ceria.,1,Seminggu ini perasaanku bagai matahari cerah di siang hari.,1
1002,"Aku pikir, kehidupan itu penuh tantangan.","Aku pikir, kehidupan itu bebas hambatan.",0,"Aku pikir, kehidupan itu layaknya berlayar di lautan yang penuh ombak.",1
1003,"Aku pikir, kehidupan itu penuh tantangan.","Aku pikir, kehidupan itu bebas hambatan.",1,"Aku pikir, kehidupan itu layaknya mengendarai mobil di jalan tol.",0
1004,Hidup harus fleksibel.,Hidup harus kaku.,0,Hiduplah seperti instruktur yoga.,1
1005,Hidup harus fleksibel.,Hidup harus kaku.,1,Hiduplah seperti kanebo kering.,1
1006,Bantuanmu tidak berguna.,Bantuanmu sangat membantu.,0,Bantuanmu ibarat jas hujan yang dipakai di siang bolong ketika matahari terik.,1
1007,Bantuanmu tidak berguna.,Bantuanmu sangat membantu.,1,Bantuanmu ibarat tawaran air minum ketika aku sedang kepedasan.,1
1008,Warna lipstick yang kau pakai pas dan cocok.,Warna lipstick yang kau pakai tidak cocok.,0,Warna lipstik yang kau pakai bagai sepatu kaca di kaki Cinderella.,0
1009,Warna lipstick yang kau pakai pas dan cocok.,Warna lipstick yang kau pakai tidak cocok.,1,Warna lipstik yang kau pakai bagai sepatu kaca di kaki raksasa.,0
1010,Make up yang kau pakai hari ini gelap dan pucat.,Make up yang kau pakai hari ini berwarna.,0,Make up yang kau pakai hari ini seperti orang yang akan pergi melayat.,1
1011,Make up yang kau pakai hari ini gelap dan pucat.,Make up yang kau pakai hari ini berwarna.,1,Make up yang kau pakai hari ini seperti orang yang akan pergi ke pesta ulang tahun.,1
1012,Aku merasa lapar sekali.,Aku merasa kenyang sekali.,0,Aku merasa seperti pengemis yang sudah satu minggu tidak makan apapun.,0
1013,Aku merasa lapar sekali.,Aku merasa kenyang sekali.,1,Aku merasa seperti anak sultan yang sudah tidak mampu memasukkan makanan ke dalam mulutnya.,1
1014,Teman sekelasku sangat cerdas.,Teman sekelasku sangat bodoh.,0,Teman sekelasku sungguh bagai bintang yang cahayanya terang benderang.,1
1015,Teman sekelasku sangat cerdas.,Teman sekelasku sangat bodoh.,1,Teman sekelasku sungguh bagai keledai yang terus menerus jatuh ke lubang yang sama.,0
1016,Skincare yang dia pakai mahal.,Skincare yang dia pakai murah.,0,Skincare yang dia pakai seharga satu buah mobil.,0
1017,Skincare yang dia pakai mahal.,Skincare yang dia pakai murah.,1,Skincare yang dia pakai seharga sebungkus kacang rebus.,0
1018,Dia membawa koper besar.,Dia membawa koper kecil.,0,Dia membawa koper segede kapal Nabi Nuh.,1
1019,Dia membawa koper besar.,Dia membawa koper kecil.,1,Dia membawa koper segede saku seragam pramuka anak SD.,1
1020,Larinya cepat.,Larinya lambat.,0,Larinya secepat pebalap F1.,0
1021,Larinya cepat.,Larinya lambat.,1,Larinya secepat porter stasiun yang memikul dua koper besar.,1
1022,Adit disayang.,Adit tidak disayang.,0,Adit diperlakukan seperti anak emas.,1
1023,Adit disayang.,Adit tidak disayang.,1,Adit diperlakukan seperti anak pungut.,0
1024,Mobilmu bau.,Mobilmu harum.,0,Mobilmu bak truk sampah.,1
1025,Mobilmu bau.,Mobilmu harum.,1,Mobilmu bak toko bunga.,1
1026,Tugasku banyak sekali.,Tugasku sedikit sekali.,0,Tugasku sudah seperti antrian orang yang akan menonton konser kpop.,1
1027,Tugasku banyak sekali.,Tugasku sedikit sekali.,1,Tugasku sudah seperti kondisi sekolah di hari libur.,0
1028,Pacar kakakku terlalu muda.,Pacar kakakku terlalu tua.,0,Pacar kakakku ibarat buah yang belum siap dipetik.,1
1029,Pacar kakakku terlalu muda.,Pacar kakakku terlalu tua.,1,Pacar kakakku ibarat buah yang sudah tidak layak dipetik.,1
1030,Wajahmu layu.,Wajahmu ceria.,0,Wajahmu terlihat seperti bunga yang satu minggu tidak disiram.,0
1031,Wajahmu layu.,Wajahmu ceria.,1,Wajahmu terlihat seperti orang yang baru mendapat lotre.,1
1032,Rambut adikku panjang.,Rambut adikku pendek.,0,Rambut adikku sudah sepanjang Rapunzel.,1
1033,Rambut adikku panjang.,Rambut adikku pendek.,1,Rambut adikku sudah sepanjang sumbu lilin.,0
1034,Pengalamannya luas.,Pengalamannya sempit.,0,Pengalamannya sudah seluas savana Afrika.,0
1035,Pengalamannya luas.,Pengalamannya sempit.,1,Pengalamannya sudah seluas liang kubur.,0
1036,Rasa obat ini pahit.,Rasa obat ini manis.,0,Rasa obat ini bak air rebusan sereh.,1
1037,Rasa obat ini pahit.,Rasa obat ini manis.,1,Rasa obat ini bak air gula.,1
1038,Baju yang kamu kenakan kebesaran.,Baju yang kamu kenakan kekecilan.,0,Baju yang kamu kenakan ibarat anak bayi menggunakan baju anak SD.,1
1039,Baju yang kamu kenakan kebesaran.,Baju yang kamu kenakan kekecilan.,1,Baju yang kamu kenakan ibarat ibu-ibu menggunakan baju anaknya yang masih berusia 5 tahun.,1
1040,Kue buatannya enak sekali.,Kue buatannya sangat tidak enak.,0,Kue buatannya bagai kue yang disajikan di restoran bintang lima.,1
1041,Kue buatannya enak sekali.,Kue buatannya sangat tidak enak.,1,Kue buatannya bagai kue yang dibuat menggunakan bahan-bahan kadaluarsa.,0
1042,wajahnya kasar.,wajahnya halus.,0,Wajahnya kentang .,1
1043,wajahnya kasar.,wajahnya halus.,1,Wajahnya  seperti jeruk mandarin.,1
1044,Sifat Ara jahat.,Sifat Ara baik.,0,Sifat Ara seperti nenek lampir.,1
1045,Sifat Ara jahat.,Sifat Ara baik.,1,Sifat Ara seperti ibu peri.,1
1046,dia berjalan lambat .,dia berjalan cepat .,0,Dia berjalan seperti siput .,1
1047,dia berjalan lambat .,dia berjalan cepat .,1,Dia berjalan seperti kelinci .,1
1048,ucapan perempuan itu menyakitkan .,ucapan perempuan itu menyenangkan .,0,Ucapan perempuan itu sungguh menyayat hati .,1
1049,ucapan perempuan itu menyakitkan .,ucapan perempuan itu menyenangkan .,1,Ucapan perempuan itu menenangkan hati .,1
1050,Suara Rano Jelek .,Suara Rano bagus .,0,Suara Rano semerdu kaset rusak .,1
1051,Suara Rano Jelek .,Suara Rano bagus .,1,Suara Rano semerdu hujan .,1
1052,Baju ini bau .,Baju ini wangi .,0,Baju ini aroma  bunga bangkai .,1
1053,Baju ini bau .,Baju ini wangi .,1,Baju ini aroma  bunga bakung .,0
1054,Sikap Erlangga kepada Mutia dingin .,Sikap Erlangga kepada Mutia hangat .,0,Sikap Erlangga kepada Mutia sedingin es .,1
1055,Sikap Erlangga kepada Mutia dingin .,Sikap Erlangga kepada Mutia hangat .,1,Sikap Erlangga kepada Mutia mentari .,0
1056,Fino dijuluki sebagai orang yang rajin .,Fino dijuluki sebagai pemalas .,0,Fino dijuluki sebagai kutu buku .,0
1057,Fino dijuluki sebagai orang yang rajin .,Fino dijuluki sebagai pemalas .,1,Fino dijuluki sebagai berat kaki .,2
1058,ucapan Rangga memberikan semangat .,ucapan Rangga menyakiti hati .,0,Ucapan Rangga membakar semangat .,1
1059,ucapan Rangga memberikan semangat .,ucapan Rangga menyakiti hati .,1,Ucapan Rangga menusuk hati .,0
1060,jarak rumah Bejo ke sekolah jauh .,jarak rumah Bejo ke sekolah dekat .,0,Jarak dari Rumah Bejo ke sekolah bagaikan jarak dari langit ke bumi .,1
1061,jarak rumah Bejo ke sekolah jauh .,jarak rumah Bejo ke sekolah dekat .,1,Jarak dari Rumah Bejo ke sekolah jarak dari sini ke depan gang .,0
1062,Dino dijuluki sebagai orang bodoh.,Dino dijuluki sebagai orang pintar.,0,Dino dijuluki sebagai kepala udang.,1
1063,Dino dijuluki sebagai orang bodoh.,Dino dijuluki sebagai orang pintar.,1,Dino dijuluki sebagai juara kelas.,1
1064,"Dalam tim sepak bola, Tino pemain cadangan .","Dalam tim sepak bola, Tino pemain inti .",0,"Dalam tim sepak bolanya, Tino bagaikan anak bawang .",0
1065,"Dalam tim sepak bola, Tino pemain cadangan .","Dalam tim sepak bola, Tino pemain inti .",1,"Dalam tim sepak bolanya, Tino bagaikan bintang lapangan .",0
1066,Suasana kelas matematika ramai dan berisik .,Suasana kelas matematika sepi dan hening .,0,Suasana kelas matematika seperti pesta ulang tahun.,1
1067,Suasana kelas matematika ramai dan berisik .,Suasana kelas matematika sepi dan hening .,1,Suasana kelas matematika seperti bandara ketika lockdown COVID.,1
1068,Acara yang kami hadiri menyenangkan.,Acara yang kami hadiri membosankan.,0,Acara seminar yang kami hadiri seperti acara komedi di televisi.,0
1069,Acara yang kami hadiri menyenangkan.,Acara yang kami hadiri membosankan.,1,Acara seminar yang kami hadiri seperti pidato kebangsaan.,1
1070,Usaha Scarlet sedang berjaya.,Usaha Scarlet sedang bangkrut.,0,Usaha Scarlet sedang naik daun.,0
1071,Usaha Scarlet sedang berjaya.,Usaha Scarlet sedang bangkrut.,1,Usaha Scarlet sedang gulung tikar.,1
1072,Mega menerima hadiah tersebut dengan sombong.,Mega menerima hadiah tersebut dengan santun.,0,Mega menerima hadiah tersebut dengan tinggi hati.,1
1073,Mega menerima hadiah tersebut dengan sombong.,Mega menerima hadiah tersebut dengan santun.,1,Mega menerima hadiah tersebut dengan rendah hati.,1
1074,Sepatu Dino terihat bersiih.,Sepatu Dino terihat kotor.,0,Sepatu Dino tampak seperti baru dicuci .,1
1075,Sepatu Dino terihat bersiih.,Sepatu Dino terihat kotor.,1,Sepatu Dino tampak seperti habis bermain hujan .,0
1076,rumahnya luas .,rumahnya sempit .,0,rumahnya seluas lapangan bola .,0
1077,rumahnya luas .,rumahnya sempit .,1,rumahnya seluas gang sempit .,1
1078,Chandra sedang jatuh cinta.,Chandra sedang sakit hati.,0,Hati Candra seperti dipenuhi bunga-bunga.,0
1079,Chandra sedang jatuh cinta.,Chandra sedang sakit hati.,1,Hati Candra seperti dihujam pisau belati.,1
1080,Tanaman ini pendek.,Tanaman ini tinggi.,0,Tinggi tanaman ini setinggi pohon toge.,1
1081,Tanaman ini pendek.,Tanaman ini tinggi.,1,Tinggi tanaman ini setinggi pohon jati.,1
1082,Kepergian Dinda terasa berat.,Kepergian Dinda terasa ringan.,0,Kepergian Dinda terasa seperti kiamat.,1
1083,Kepergian Dinda terasa berat.,Kepergian Dinda terasa ringan.,1,Kepergian Dinda terasa seperti surga.,Z
1084,Kamar kosan Dinda terasa dingin.,Kamar kosan Dinda terasa panas.,0,Kamar kosan Dinda terasa seperti di Kutub Utara .,1
1085,Kamar kosan Dinda terasa dingin.,Kamar kosan Dinda terasa panas.,1,Kamar kosan Dinda terasa seperti di gurun pasir .,1
1086,harga makanan di sini mahal .,harga makanan di sini murah .,0,Harga makanan di sini seharga dua bungkus nasi padang .,1
1087,harga makanan di sini mahal .,harga makanan di sini murah .,1,Harga makanan di sini seharga makanan pinggir jalan .,1
1088,Dosen pembimbing kami Sulit ditemui.,Dosen pembimbing kami mudah ditemui.,0,Dosen pembimbing kami seperti tanaman langka.,1
1089,Dosen pembimbing kami Sulit ditemui.,Dosen pembimbing kami mudah ditemui.,1,Dosen pembimbing kami seperti rumput liar.,1
1090,Jam kerja di kantor ini tidak kenal waktu.,Jam kerja di kantor ini teratur.,0,Jam kerja di kantor ini seperti mesin waktu.,0
1091,Jam kerja di kantor ini tidak kenal waktu.,Jam kerja di kantor ini teratur.,1,Jam kerja di kantor ini seperti tempat bermain anak-anak.,1
1092,Ara dikenal sebagai gadis yang cerewet.,Ara dikenal sebagai gadis yang pendiam.,0,Ara dikenal sebagai gadis yang mirip burung beo.,0
1093,Ara dikenal sebagai gadis yang cerewet.,Ara dikenal sebagai gadis yang pendiam.,1,Ara dikenal sebagai gadis yang mirip kelinci.,No
1094,Kisah cinta kami abadi.,Kisah cinta kami sementara.,0,Kisah cinta kami seperti tanaman edelweis.,0
1095,Kisah cinta kami abadi.,Kisah cinta kami sementara.,1,Kisah cinta kami seperti kisah Romeo dan Juliet.,1
1096,Telapak kakinya besar.,Telapak kakinya kecil.,0,Telapak kakinya seperti kaki gajah.,1
1097,Telapak kakinya besar.,Telapak kakinya kecil.,1,Telapak kakinya seperti kaki semut.,1
1098,Hamid dan Rahmat Suka bertengkar.,Hamid dan Rahmat akur.,0,Hamid dan Rahmat seperti Tom and Jerry .,1
1099,Hamid dan Rahmat Suka bertengkar.,Hamid dan Rahmat akur.,1,Hamid dan Rahmat seperti Dora dan Boots .,1
1100,Kehadirannya menjadi bermanfaat bagi kami.,Kehadirannya menjadi bencana bagi kami.,0,Kehadirannya bagaikan bulan di malam hari bagi kami.,0
1101,Kehadirannya menjadi bermanfaat bagi kami.,Kehadirannya menjadi bencana bagi kami.,1,Kehadirannya bulan di siang hari bagi kami.,0
1102,kamarnya sejuk.,kamarnya panas.,0,Kamarnya seperti ubin masjid.,1
1103,kamarnya sejuk.,kamarnya panas.,1,Kamarnya seperti padang masyar.,1
1104,Damara bertingkah menggemaskan .,Damara bertingkah menyebalkan .,0,Damara bertingkah seperti anak kecil .,1
1105,Damara bertingkah menggemaskan .,Damara bertingkah menyebalkan .,1,Damara bertingkah seperti merengek seperti anak kecil .,1
1106,Kuku-kukunya pendek-pendek.,Kuku-kukunya panjang-panjang.,0,kuku-kukunnya seperti jengkol.,1
1107,Kuku-kukunya pendek-pendek.,Kuku-kukunya panjang-panjang.,1,kuku-kukunnya seperti pete.,1
1108,Dia bernyanyi dengan gelagapan.,Dia bernyanyi dengan lancar.,0,Dia bernyanyi seperti orang kumur-kumur.,0
1109,Dia bernyanyi dengan gelagapan.,Dia bernyanyi dengan lancar.,1,Dia bernyanyi seperti penyanyi aslinya.,1
1110,Dinda orangnya pemarah .,Dinda orangnya penyabar .,0,tingkat kesabaran Dinda sebesar tisu .,0
1111,Dinda orangnya pemarah .,Dinda orangnya penyabar .,1,tingkat kesabaran Dinda sebesar kasih ibu .,1
1112,airnya berasa tawar .,airnya berasa asin .,0,mata air di sini rasanya seperti air kolam .,1
1113,airnya berasa tawar .,airnya berasa asin .,1,mata air di sini rasanya seperti air laut .,1
1114,Rambutnya lurus.,Rambutnya keriting.,0,Rambutnya seperti bihun.,1
1115,Rambutnya lurus.,Rambutnya keriting.,1,Rambutnya seperti mie kuning.,1
1116,lawakannya garing .,lawakannya lucu .,0,Lawakannya seperti krupuk .,1
1117,lawakannya garing .,lawakannya lucu .,1,Lawakannya seperti Sule .,1
1118,Bila seorang pemalu .,Bila seorang pemberani .,0,Bila seperti tanaman putri malu .,1
1119,Bila seorang pemalu .,Bila seorang pemberani .,1,Bila seperti singa putih .,1
1120,Kasur ini keras .,Kasur ini empuk .,0,Kasur ini empuk sekali seperti tidur di lantai .,0
1121,Kasur ini keras .,Kasur ini empuk .,1,Kasur ini empuk sekali seperti kasur mahal .,1
1122,gaji yang ia dapat sedikit .,gaji yang ia dapat banyak .,0,Gaji yang ia dapatkan seperti  angin kosong .,0
1123,gaji yang ia dapat sedikit .,gaji yang ia dapat banyak .,1,Gaji yang ia dapatkan seperti  tumpukan jerami .,1
1124,Bulu matanya tebal .,Bulu matanya tipis .,0,Bulu matanya seperti ulat bulu .,1
1125,Bulu matanya tebal .,Bulu matanya tipis .,1,Bulu matanya seperti orang bisa melihat tuyul .,1
1126,baju mereka gelap .,baju mereka warna-warni .,0,Baju mereka seperti orang yang sedang berduka .,0
1127,baju mereka gelap .,baju mereka warna-warni .,1,Baju mereka seperti pelangi .,1
1128,Kolom chatku sepi .,Kolom chatku ramai .,0,kolom chatku seperti ruang isolasi.,1
1129,Kolom chatku sepi .,Kolom chatku ramai .,1,kolom chatku seperti karnival.,0
1130,Ia minum sedikit .,Ia minum banyak .,0,Ia minum seperti burung .,1
1131,Ia minum sedikit .,Ia minum banyak .,1,Ia minum seperti orang kehausan .,1
1132,Cara bicaranya santun .,Cara bicaranya tidak berisi atau tidak sopan .,0,Cara bicaranya seperti orang terpelajar .,1
1133,Cara bicaranya santun .,Cara bicaranya tidak berisi atau tidak sopan .,1,Cara bicaranya seperti tong kosong nyaring bunyinya .,1
1134,kedatangannya bisa jadi rumit .,kedatangannya bisa jadi ketenangan .,0,kedatangannya bisa jadi seperti hujan angin .,1
1135,kedatangannya bisa jadi rumit .,kedatangannya bisa jadi ketenangan .,1,kedatangannya bisa jadi seperti angin sepoi-sepoi .,1
1136,sifat manusia bisa ngga punya malu.,sifat manusia bisa ingin dikenal.,0,sifat manusia bisa seperti muka dua .,0
1137,sifat manusia bisa ngga punya malu.,sifat manusia bisa ingin dikenal.,1,sifat manusia bisa seperti cari muka .,1
1138,tampangnya garang.,tampangnya halus.,0,tampangnya seperti preman pasar .,1
1139,tampangnya garang.,tampangnya halus.,1,tampangnya seperti Hello Kitty .,0
